Rank_area,Rank_pop,Name,All sectors,sd,nodata,0,5,1,15,2,25,3,35,4,45,Agricultural,Domestic,Industrial
25,NA,Ural,2.62,1.46,0.00,343087872.00,232404400.00,0.00,634988288.00,516753568.00,19007520.00,0.00,759188096.00,0.00,378446016.00,2.61,2.56,2.63
26,NA,Churchill River,2.52,1.26,0.00,65237052.00,16688.00,0.00,4605432.00,0.00,326344064.00,0.00,0.00,0.00,43373144.00,2.83,2.47,2.52
27,NA,Douro,2.51,0.09,0.00,0.00,6270285.00,341931.00,22943.00,0.00,5390703616.00,13948215.00,1997948.00,3064316.00,158242.00,2.51,2.51,2.51
32,NA,Ob,2.21,1.55,0.00,3526948096.00,1414712576.00,785944128.00,971191744.00,267542416.00,3753746176.00,1508138752.00,835805056.00,1408695936.00,1047247744.00,2.90,1.78,1.90
33,NA,Cunene,2.05,2.46,0.00,78368512.00,0.00,48020.00,0.00,0.00,0.00,0.00,0.00,0.00,54402144.00,0.00,0.93,2.93
36,NA,Nelson River,1.94,1.28,0.00,3115772160.00,1263644160.00,1034645888.00,3115684608.00,935741376.00,1043933120.00,1460540544.00,3238795776.00,17875732.00,2290472.00,2.68,1.96,1.65
44,NA,Neman,1.22,0.08,0.00,7719765.00,6430540.00,2858285056.00,5996003.00,1682121.00,0.00,0.00,0.00,0.00,0.00,1.23,1.22,1.22
45,NA,Rufiji,1.15,0.75,0.00,295286528.00,0.00,60313720.00,657933184.00,0.00,0.00,0.00,0.00,0.00,143988.00,1.22,0.51,0.64
46,NA,Tana,1.13,0.04,0.00,710360.00,9959218.00,1180350720.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.14,1.13,1.13
54,NA,Save,0.83,0.67,0.00,706115328.00,506557.00,42093.00,541129792.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,0.73,1.33
57,NA,Lena,0.72,1.75,0.00,264942336.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44402612.00,0.59,0.45,0.78
60,NA,Okavango,0.59,1.61,0.00,176821072.00,1043595.00,84389.00,0.00,0.00,0.00,0.00,0.00,0.00,23741256.00,0.15,1.10,0.47
62,NA,Alabama River & Tombigbee,0.59,0.58,0.00,2649632512.00,242269536.00,863299264.00,432059296.00,16964372.00,0.00,0.00,0.00,0.00,0.00,0.51,0.64,0.58
63,NA,Mackenzie River,0.58,1.07,0.00,1845185152.00,777450176.00,113618240.00,127343296.00,0.00,1200281.00,0.00,0.00,0.00,135285936.00,0.38,0.50,0.59
64,NA,Uruguay,0.56,0.58,0.00,4338302464.00,909421.00,3361875456.00,855321088.00,822734.00,0.00,0.00,0.00,0.00,0.00,0.62,0.14,0.14
67,NA,Churchill (Atlantic),0.51,0.87,0.00,41777652.00,0.00,0.00,0.00,14015513.00,0.00,0.00,0.00,0.00,0.00,-,0.16,0.53
68,NA,Negro (Argentinia),0.47,0.83,0.00,1396223616.00,1023710.00,401313344.00,30373.00,36216.00,4210.00,0.00,0.00,0.00,43740592.00,0.41,0.89,0.62
72,NA,Fraser River,0.39,0.68,0.00,964300224.00,334064608.00,0.00,0.00,137881312.00,0.00,0.00,0.00,0.00,0.00,0.25,0.66,0.28
80,NA,Sanaga,0.03,0.39,0.00,164764096.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1010207.00,0.24,0.01,0.00
81,NA,Rio Salado (Rio De La Plata),0.03,0.17,0.00,481455808.00,10414014.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,275061.00,0.01,0.03,0.03
82,NA,Rovuma,0.02,0.29,0.00,69798384.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,243877.00,0.00,0.02,0.00
85,NA,Lake Titicaca,0.00,0.09,0.00,967146432.00,0.00,288529.00,7329.00,127441.00,109804.00,8843.00,27461.00,0.00,227828.00,0.00,0.01,0.00
86,NA,Rio Parnaiba,0.00,0.05,0.00,1206727936.00,0.00,1276326.00,0.00,0.00,0.00,0.00,0.00,0.00,41739.00,0.00,0.00,0.01
89,NA,Cuanza,0.00,0.03,0.00,257763968.00,242507.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
90,NA,Moose River (Trib. Hudson Bay),0.00,0.00,0.00,254688512.00,0.00,1566.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
91,NA,Essequibo River,0.00,0.00,0.00,57841236.00,371.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
92,NA,Albany River,0.00,0.00,0.00,246689696.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00
92,NA,Bandama,0.00,0.00,0.00,721046144.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
92,NA,Grande Riviere,0.00,0.00,0.00,31202432.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00
92,NA,Hayes River (Trib. Hudson Bay),0.00,0.00,0.00,28658088.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00
92,NA,Ogooue,0.00,0.00,0.00,68096584.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
92,NA,Riviere Koksoak,0.00,0.00,0.00,12607433.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00
92,NA,Riviere Saguenay,0.00,0.00,0.00,533245248.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
92,NA,Severn River (Trib. Hudson Bay),0.00,0.00,0.00,9917853.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
92,NA,Tocantins,0.00,0.00,0.00,2678518784.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
